Captured at start of chore/deps-upgrade (npm outdated).
See git history for timestamp; re-run npm outdated after upgrades.

Package                      Current   Wanted   Latest
@testing-library/jest-dom      6.4.5    6.9.1    6.9.1
@testing-library/react        15.0.7   15.0.7   16.3.2
@testing-library/user-event   14.5.2   14.6.1   14.6.1
@types/jest                  29.5.14  29.5.14   30.0.0
@types/react                  18.3.2  18.3.28  19.2.14
@types/react-dom              18.3.0   18.3.7   19.2.3
@types/styled-components      5.1.34   5.1.36   5.1.36
antd                         4.24.16  4.24.16   6.3.5
gh-pages                       6.1.1    6.3.0    6.3.0
react                         18.3.1   18.3.1   19.2.5
react-dom                     18.3.1   18.3.1   19.2.5
react-router-dom              6.30.3   6.30.3   7.14.1
source-map-loader              3.0.2    3.0.2    5.0.0
styled-components             5.3.11   5.3.11    6.4.0
ts-loader                      9.5.1    9.5.7    9.5.7
typescript                     4.9.5    4.9.5    6.0.2
use-local-storage              2.3.6    2.3.6    3.0.0
web-vitals                     2.1.4    2.1.4    5.2.0
